Compound,Label,SB_con,SB_pre,MB_con,MB_pre,SO_con,SO_pre,MO_con,MO_pre,Consensus_con,Consensus_pre,Receptor
BDB10516,1,0.3611087205966725,0,0.3983750060799516,0,0.0427055014431932,0,0.0600054525627044,0,0.2155486701706304,0,ACHE_protein_receptor.pdbqt
BDB12915,1,0.3526255816918467,0,0.4140346686484064,0,0.142280989581007,0,0.1251135950563431,0,0.2585137087444008,0,PI3Kg_protein_receptor.pdbqt
BDB13246,1,0.3640394912985274,0,0.2724958002104476,0,0.1069115018697346,0,0.0257088331515812,0,0.1922889066325727,0,JAK3_protein_receptor.pdbqt
BDB13268,1,0.4306448014279339,0,0.2605135755743836,0,0.0592276541281708,0,0.0437234944868532,0,0.19852738140433537,0,JAK3_protein_receptor.pdbqt
BDB13344,1,0.6695267360930012,1,0.3703051643192488,0,0.048483080336265,0,0.1000181752090149,0,0.29708328898938247,0,P38-alpha_protein_receptor.pdbqt
BDB13533,1,0.8859915853891759,1,0.7451584507042255,1,0.5487089201877934,1,0.4463340836432439,0,0.6565482599811097,1,JNK2_protein_receptor.pdbqt
BDB13534,1,0.8256161732065348,1,0.7566021126760565,1,0.3721222059855407,0,0.5697655398037079,1,0.63102650791796,1,JAK3_protein_receptor.pdbqt
BDB13544,1,0.7204612099190411,1,0.410708207892096,0,0.2393491543346649,0,0.1014705396384785,0,0.36799727794607007,0,ACHE_protein_receptor.pdbqt
BDB13900,1,0.6386402753872633,1,0.4946452198036705,0,0.0525717183318721,0,0.1118472070762146,0,0.3244261051497551,0,ERBB2_protein_receptor.pdbqt
BDB13901,1,0.4954205711735832,0,0.4218392620681354,0,0.062543805367867,0,0.063676844783715,0,0.26087012084832517,0,ERBB2_protein_receptor.pdbqt
BDB13902,1,0.5536096768024479,1,0.399489888046226,0,0.0614516367817066,0,0.1036623046165031,0,0.2795533765617209,0,ERBB2_protein_receptor.pdbqt
BDB13903,1,0.5852441512080067,1,0.4082224830464267,0,0.0349064801166927,0,0.0440839694656488,0,0.2681142709591937,0,ERBB2_protein_receptor.pdbqt
BDB13904,1,0.8521944922547329,1,0.7130281690140845,1,0.3768677062713945,0,0.5281864869651128,1,0.6175692136263312,1,ERBB2_protein_receptor.pdbqt
BDB13906,1,0.8294256390641932,1,0.4948919023044116,0,0.2139317403530526,0,0.255089058524173,0,0.44833458506145757,0,ERBB2_protein_receptor.pdbqt
BDB13907,1,0.8443010135781222,1,0.4798776634163958,0,0.2129259566548796,0,0.211205016357688,0,0.4370774125017714,0,ERBB2_protein_receptor.pdbqt
BDB13911,1,0.8180876464008993,1,0.6828051643192489,1,0.3732174040933463,0,0.4612381045587152,0,0.5838370798430524,1,ERBB2_protein_receptor.pdbqt
BDB13913,1,0.8464200235284572,1,0.6894072769953051,1,0.3632408782717501,0,0.5020232735881589,1,0.6002728630959179,1,ERBB2_protein_receptor.pdbqt
BDB13914,1,0.8353063045834128,1,0.508242841271548,1,0.2620728712183084,0,0.2934978189749182,0,0.47477995901204684,0,ERBB2_protein_receptor.pdbqt
BDB13915,1,0.8549180850385669,1,0.5242077464788731,1,0.3760417601736524,0,0.3223691384950926,0,0.5193841825465463,1,ERBB2_protein_receptor.pdbqt
BDB13916,1,0.8055972084586545,1,0.7043720657276996,1,0.3937742070701212,0,0.5340979736972103,1,0.6094603637384214,1,ERBB2_protein_receptor.pdbqt
