PDBCode,Pose/decoy,Pose name,Label,MB_pred,MB_prob,MO_pred,MO_prob
2i3i,decoy,2i3i_decoy_9_pose_1,0,0,0.30598151282454467,0,0.04656488549618321
4xtv,decoy,4xtv_decoy_5_pose_4,0,0,0.24419585893147025,0,0.00916030534351145
3fjg,decoy,3fjg_decoy_5_pose_3,0,0,0.3354505237010923,0,0.02194656488549618
2vzr,decoy,2vzr_decoy_6_pose_2,0,0,0.2998548507491592,0,0.023473282442748093
5caq,pose,5caq_pose_3,1,1,0.9593603286384977,1,0.8235550708833151
5caq,pose,5caq_pose_4,1,1,0.817997729969561,1,0.5363186114140314
5caq,pose,5caq_pose_5,0,0,0.30230436390828086,0,0.06024173027989821
5caq,pose,5caq_pose_6,0,0,0.4132005575117372,0,0.2142887434872168
5caq,pose,5caq_pose_7,0,0,0.4049494664583748,0,0.27524536532170113
3aas,decoy,3aas_decoy_2_pose_2,0,0,0.19746340524255068,0,0.014631043256997454
5dqe,decoy,5dqe_decoy_9_pose_3,0,0,0.28950747931477466,0,0.003816793893129771
2xd9,pose,2xd9_pose_1,1,1,0.6227992957746479,0,0.2759466254695262
5fd0,decoy,5fd0_decoy_6_pose_5,0,0,0.3994838843212434,0,0.17816248636859322
4ha5,decoy,4ha5_decoy_8_pose_5,0,0,0.21435039359147762,0,0.003816793893129771
6mu7,decoy,6mu7_decoy_1_pose_5,0,0,0.31504851383833,0,0.012213740458015267
1rdt,decoy,1rdt_decoy_10_pose_1,0,0,0.4332453051643192,0,0.07458197019265721
5nyh,decoy,5nyh_decoy_2_pose_1,0,0,0.315483952426143,0,0.03350599781897492
2xyt,decoy,2xyt_decoy_4_pose_2,0,0,0.45173122065727705,0,0.08321065067248273
5eqy,decoy,5eqy_decoy_1_pose_1,0,0,0.20693973773081445,0,0.03251544892766267
6j39,decoy,6j39_decoy_4_pose_1,0,0,0.17595143965786897,0,0.0
6gwr,decoy,6gwr_decoy_1_pose_2,0,0,0.39631938456133636,0,0.04159396583060705
3e2m,pose,3e2m_pose_1,1,0,0.4393155809859155,0,0.07154216648491457
3e2m,pose,3e2m_pose_2,1,0,0.4236172241784038,0,0.08736368593238825
3e2m,pose,3e2m_pose_3,1,0,0.4881712147887323,0,0.14198018902217377
3e2m,pose,3e2m_pose_4,1,1,0.5186326291079812,0,0.21590330788804069
3e2m,pose,3e2m_pose_5,1,0,0.49559859154929575,0,0.17116048709560158
4pfu,decoy,4pfu_decoy_4_pose_2,0,0,0.28568047042788197,0,0.020065430752453654
3e2m,pose,3e2m_pose_15,0,0,0.42725006302936136,0,0.10041802980734278
3e2m,pose,3e2m_pose_17,0,0,0.4596618170561833,0,0.09799618320610687
3e2m,pose,3e2m_pose_18,0,0,0.4318205063715626,0,0.057492729916394036
1qca,decoy,1qca_decoy_9_pose_1,0,0,0.41798708920187794,0,0.08925845147219193
1ctt,decoy,1ctt_decoy_8_pose_3,0,0,0.39021929194212895,0,0.11799345692475464
